,,,,,,Slasify Pricing,,,,,,Vendor Quotation,,,,,,,,,,,,,,,
Continent,Country,Vendor Name,Contact Owner,Preference,Service Type,Service Fee,Setup Fee,Deposit,Termination Fee,VAT,Note,Service Fee,Setup Fee,Deposit,Termination Fee,VAT,Note,G-Drive Link,Entity Relationship,Status,Contact Email,Contact Name,Pricing Valid Until,Renewal Status,Vendor Review Sheet URL,Last Reminder Sent,Vendor Relations Labels
Asia,Afghanistan,Rivermate,David,Poor Quality Vendor,Local EOR ,,,,,,,EUR 399,N/A,1 month,N/A,N/A,,,Uses Vendor,Established Contact,lucas@rivermate.com,,,Inactive,,,Tier 2
Asia,Afghanistan,Acumen International,David,Backup Vendor,Local EOR ,,,,,,,"18% on TEC min USD 1,600","• USD 1.000 (Standard - within 10 working days)
• USD 1,500 (Express - within 3 Working days",,N/A,,,ACU,Uses Vendor,Established Contact,dk@expressglobalemployment.com,,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1HeKcblPyUO2DwJwno5SjL9NJOoixJYVzm2pn_KHQw-Y/edit,"July 15, 2026",Tier 2
Europe,Albania,Acumen International,David,Backup Vendor,Local EOR ,,,,,,,"10% min USD 1,000","10% min USD 1,000",,N/A,,,ACU,Unknown,Established Contact,dk@expressglobalemployment.com,Dmitriy Koshkin,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1HeKcblPyUO2DwJwno5SjL9NJOoixJYVzm2pn_KHQw-Y/edit,7/15/2026,Tier 2
Europe,Albania,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Albania,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month ,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Albania,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Albania,Enterprise Workforce Solutions,Jasmine,Backup Vendor,Expat EOR,,,,,,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Albania,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
